# LXCat-format cross section (two columns)
# Process: e + H2 -> e + H(1s) + H(n=3)   (Hα proxy via H(n=3)->Hα)
# Units: Energy [eV], Cross section [m^2]
# Threshold Eth = 19.0 eV (sigma=0 below Eth)
# Fit model (Eth..1 keV): ln(sigma) = sum_{i=0..8} a_i * (ln(E))^i
# Extrapolation (1 keV..100 keV): sigma(E) = sigma(1 keV) * (1 keV / E)  (1/E decay)
# Columns: E_eV    sigma_m2
--------------------------------------------------
 3.88187097e+04   7.06148933e-21
 3.96436393e+04   6.91454946e-21
 4.04860993e+04   6.77066720e-21
 4.13464623e+04   6.62977893e-21
 4.22251087e+04   6.49182235e-21
 4.31224271e+04   6.35673646e-21
 4.40388142e+04   6.22446153e-21
 4.49746753e+04   6.09493905e-21
 4.59304242e+04   5.96811175e-21
 4.69064836e+04   5.84392356e-21
 4.79032850e+04   5.72231955e-21
 4.89212693e+04   5.60324596e-21
 4.99608866e+04   5.48665012e-21
 5.10225967e+04   5.37248048e-21
 5.21068689e+04   5.26068655e-21
 5.32141828e+04   5.15121891e-21
 5.43450281e+04   5.04402913e-21
 5.54999047e+04   4.93906982e-21
 5.66793234e+04   4.83629458e-21
 5.78838058e+04   4.73565794e-21
 5.91138844e+04   4.63711542e-21
 6.03701031e+04   4.54062343e-21
 6.16530176e+04   4.44613930e-21
 6.29631950e+04   4.35362126e-21
 6.43012148e+04   4.26302839e-21
 6.56676687e+04   4.17432064e-21
 6.70631607e+04   4.08745877e-21
 6.84883082e+04   4.00240438e-21
 6.99437412e+04   3.91911985e-21
 7.14301034e+04   3.83756836e-21
 7.29480519e+04   3.75771384e-21
 7.44982582e+04   3.67952099e-21
 7.60814076e+04   3.60295522e-21
 7.76982002e+04   3.52798268e-21
 7.93493510e+04   3.45457022e-21
 8.10355901e+04   3.38268536e-21
 8.27576632e+04   3.31229634e-21
 8.45163318e+04   3.24337201e-21
 8.63123735e+04   3.17588190e-21
 8.81465826e+04   3.10979617e-21
 9.00197701e+04   3.04508559e-21
 9.19327644e+04   2.98172155e-21
 9.38864115e+04   2.91967602e-21
 9.58815751e+04   2.85892158e-21
 9.79191376e+04   2.79943136e-21
 1.00000000e+05   2.74117905e-21
--------------------------------------------------
====================================================================================================
